Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
agl 1g pre roll indicol dos 2788 19091,1.71,29.84,0,0.14,0.03,0.06,0.38,0.05,0.24,0.05,0.14,0.11,0.18,1.19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol e 2761 19682,1.83,29.39,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol e 3035 19659,1.14,33.31,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol e 3188 20400,1.34,34.82,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fg 3059 20278,0.77,34.00,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fg 3264 20256,1.75,35.22,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fg 3341 19639,1.39,36.51,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fg 3399 20628,1.15,37.45,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fg 3475 19631,1.34,38.10,0,0.14,0.03,0.41,0.70,0.07,0.34,0.02,0.51,0.21,0.15,1.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol fh 21658,0.76,20.93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol gi 1759 19632,0.91,19.02,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol gi 1916 19132,1.02,20.68,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol gi 2639 19640,1.42,28.47,0,0.15,0.04,0.05,0.54,0.06,0.30,0.01,0.04,0.23,0.21,1.59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol gz 3009 19660,1.38,32.74,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol hj 2066 19133,0.88,22.55,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol hj 2173 19643,0.92,23.73,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol ik 1870 19674,0.53,20.72,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol jk 21678,0,31.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol jk 2725 20288,0.95,29.99,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol jl 2483 19082,1.03,27.14,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol kk 2648 19633,1.78,28.16,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol km 2933 19641,1.79,31.40,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol oq 2374 19661,0.81,26.15,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol pr 2534 19644,0.63,28.17,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol qr 2437 19141,0.47,27.25,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol qr 2800 19645,0.58,31.26,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol rs 2948 19677,0.40,33.16,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol rs 3050 19138,1.42,33.16,0,0.15,0.03,0.35,1.07,0.06,0.31,0.01,0,0.31,0.22,0.50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol sfs 20709,0.42,26.62,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol ta 2704 20249,0.08,30.74,0,0.07,0.06,0.11,0.44,0.08,0.58,0.02,0.15,0.15,0.11,1.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol tu 2591 19662,0.44,29.04,0,0.11,0.03,0.18,0.53,0.05,0.16,0.01,0.12,0.23,0.22,1.50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol uv 2533 19663,1.95,26.66,0,0.13,0.05,0.12,0.39,0.09,0.07,0.43,0.03,0.12,0.26,1.96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol vl 20707,0.24,33.20,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol vw 2545 19137,1.32,27.51,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol w 2530 19671,0.69,28.06,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol x 2207 20260,0.36,24.75,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol xy 2575 19083,1.77,27.34,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol za 2260 20287,1.04,24.58,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol za 2608 19084,0.88,28.74,0,0.16,0.03,0.14,0.07,0.05,0.23,0,0.08,0.02,0.19,1.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin ab 21648,0.95,26.89,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin cd 21697,0.86,25.41,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin cr 1412 19156,0.18,15.89,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin ef 21684,0.48,17.53,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin ef 2227 19676,0.59,24.72,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin sch 20655,1.07,24.52,0,0.08,0.09,0.83,0.14,0.06,0.04,0.39,0.03,0.06,0.07,1.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin sd 2321 20296,1.42,24.85,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin sd 270019090,2.06,28.44,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin stl 2399 19085,1.18,26.01,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin u 2493 19646,1.46,26.76,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin v 2095 19642,0.58,23.23,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin v 2788 19672,2.32,29.14,0.59,0.15,0.04,0.21,0.31,0.08,0.07,0,0.01,0.13,0,1.51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll sativarin w 2725 20277,0.88,30.07,0,0.09,0.06,0.18,0.11,0.09,0.12,0.43,0.03,0.01,0.50,1.88,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll serealmelk h 20668,0.88,25.96,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll skid row 2610 20350,1.02,28.60,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre rolls indicol xn 21664,0.83,24.04,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g sativarin ab syringe 21798,80.50,0,<LOQ,0,0.04,0.43,1.20,0.11,1.06,0,2.08,0.42,0.99,0.29,0,2.03,0.73,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll hybridol ad 22833,0.38,27.10,0,<LOQ,0.02,0.43,0.61,0.05,0.42,0,0.17,0.19,<LOQ,1.27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll hybridol cm 21812,0.62,30.38,0,<LOQ,0.09,0.05,0.48,0.09,0.52,0.51,0.14,0.18,<LOQ,1.54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol bbf 21807,0.36,30.17,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol csk 21800,0.82,31.41,0,0.04,0.03,0.55,0.61,0.08,0.52,0,0.46,0.19,0.08,1.42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol dos 21810,1.02,27.46,0,<LOQ,0.04,0.10,0.74,0.07,0.48,0.09,0.42,0.24,<LOQ,1.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol fg 22836,0.84,38.08,0,<LOQ,0.02,0.49,0.78,0.05,0.33,0,0.42,0.25,<LOQ,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acbd181 c50t3 5569,0.46,<0.10,8.44,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol gcc 21803,0.53,32.26,0,0.05,0.04,0.03,0.26,0.07,0.62,0,0.11,0,0.18,3.20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g select grind pre roll indicol scp 21815,1.17,22.44,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g syringe indicol bsc 21637,83.91,0,<LOQ,0,0.09,0.54,1.03,0.18,1.29,0,0.15,0.39,1.64,0,0,0,1.13,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g syringe indicol jk 8004 19808,80.04,0,0.68,0,0.05,0.23,1.46,0.10,0.53,0,0.74,0.44,2.24,0,0,0,1.65,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g syringe indicol qr 8095 19819,80.95,0,0.66,0,0.07,0.54,0.83,0.14,1.16,0,0.72,0.29,2.16,0.17,0,0,1.15,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g syringe indicol vw 7983 19810,79.83,0,0.70,0,0.02,0.25,1.61,0.05,0.36,0.03,0.27,0.55,2.95,0,0,0,1.54,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack blueberry thc cbn gummies 21670,0.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack blueberry thc cbn gummies 21729,0.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack blueberry thc cbn gummies 21795,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack strawberry thc cbd gummies 21685,0.15,0,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack strawberry thc cbd gummies 21764,0.15,0,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack strawberry thc cbd gummies 22842,0.15,0,0.20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack tangerine thc cbd gummies 21691,0.16,0,0.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack tangerine thc cbd gummies 21742,0.15,0,0.37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack tangerine thc cbd gummies 21818,0.16,0,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack watermelon thc gummies 21711,0.17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack watermelon thc gummies 22830,0.17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20 pack watermelon thc gummies,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg cannabidiol 11 tablets 19653,1.72,0,1.90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg cannabidiol 11 tablets 20671,1.82,0,1.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg hybridol cbn 51 tablets 19650,3.00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg hybridol thc cbn 51 tablets 20645,3.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg indicol tablets 19219,3.60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg indicol tablets 21761,3.52,0,<LOQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg sativarin tablets 20676,3.59,0,0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 20mg sativarin tablets 21756,3.55,0,<LOQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 28g hybridol vw 1238 19771,0.26,13.82,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35 indicol fg second cut 20762,0.80,37.35,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35 indicol gcc 21801,0.53,32.26,0,0.05,0.04,0.03,0.26,0.07,0.62,0,0.11,0,0.18,3.20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35 indicol kk 21635,0.52,22.03,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g indicol ik 2025 second cut 19689,0.35,22.69,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g bbshort h 20670,1.29,26.47,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g dark crystal i 20726,1.13,21.80,0,0.13,0.03,0.11,0.19,0.06,0.06,0.02,0.02,0.06,0.14,1.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g dark crystal i second cut 20728,1.13,21.80,0,0.13,0.03,0.11,0.19,0.06,0.06,0.02,0.02,0.06,0.14,1.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g florida cke h 20667,1.05,24.95,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g garlic glue 2868 second cut 20352,1.12,31.42,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g headcracker i second cut 20725,0.49,31.33,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol  alm  20736,0.29,25.25,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol ad 3376 second cut 19722,0.43,38.01,0,0.08,0.05,0.25,0.40,0.08,0.42,0,0.23,0.01,0.49,1.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol ad 3652 19093,1.01,40.49,0,0.14,0.05,0.23,0.49,0.08,0.40,0.01,0.24,0.15,0.37,1.79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol ad 3652 second cut 19104,1.01,40.49,0,0.14,0.05,0.23,0.49,0.08,0.40,0.01,0.24,0.15,0.37,1.79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol alm second cut 20738,0.29,25.52,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol bc 2129 20346,0.86,23.29,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol bc 2129 second cut 20362,0.86,23.29,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol bc 21699,0.57,26.95,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol bc 2477 19189,0.67,27.48,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol bc 2477 second cut 19201,0.67,27.48,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol by 2158 20636,1.04,23.42,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol by 21655,0,21.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol cm 2650 20235,1.09,28.97,0,0.10,0.11,0.14,0.27,0.12,0.54,0.67,0.09,0.12,0.04,1.27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol fg 2381 19791,1.03,25.98,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol fg 2478 second cut 20330,1.27,26.81,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol fg 2778 second cut 19099,1.77,29.66,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol gl 2356 second cut 20241,1.92,24.68,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol gp 2073 20279,0.94,22.57,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol hi 2651 19186,1.27,28.78,0,0.10,0.03,0.44,0.23,0.05,0.20,0.01,0.12,0.07,0.40,1.69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol hi 2651 second cut 19197,1.27,28.78,0,0.10,0.03,0.44,0.23,0.05,0.20,0.01,0.12,0.07,0.40,1.69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol i 1915 20266,1.28,20.38,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol i 1915 second cut 20267,1.28,20.38,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol j 2565 19187,0.45,28.74,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol j 2565 second cut 19202,0.45,28.74,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol jp second cut 21715,0.24,21.49,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 20733,0.01,25.05,0,0.14,0.02,0.02,0.48,0.04,0.21,0,0.19,0.12,0.09,1.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 20753,0.12,26.43,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 21823,0.19,29.05,0,<LOQ,0.01,0.01,0.99,0.02,0.07,0,0.20,0.28,<LOQ,1.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 2493 second cut 19064,0.51,27.85,0,0.12,0.02,0.01,0.32,0.02,0.15,0,0.20,0.11,0.15,1.19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 2497 20365,0.61,27.78,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 2843 19685,0.50,31.85,0,0.11,0.04,0.10,0.17,0.06,0.24,0,0.21,0.06,0.54,1.14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm 2843 second cut 19686,0.50,31.85,0,0.11,0.04,0.10,0.17,0.06,0.24,0,0.21,0.06,0.54,1.14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm second cut 20735,0.01,25.05,0,0.14,0.02,0.02,0.48,0.04,0.21,0,0.19,0.12,0.09,1.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol lm second cut 21824,0.19,29.05,0,<LOQ,0.01,0.01,0.99,0.02,0.07,0,0.20,0.28,<LOQ,1.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol mn 2854 second cut 19036,1.82,30.47,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol no 2209 19787,0.47,24.65,0,0.06,0.08,0.02,0.24,0.04,0.11,0.09,0.01,0.10,0.24,2.32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol no 2601 20411,0.77,28.78,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol om second cut 20772,1.45,31.17,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol op 2153 19153,0.57,23.90,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol op 2153 second cut 19160,0.57,23.90,0,0.10,,,,,,,,,0.36,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol q 2870 20633,0.74,31.88,0,0.05,0.05,0.09,0.22,0.08,0.18,0,0.12,0,0.04,1.41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol q 2870 second cut 20634,0.74,31.88,0,0.05,0.05,0.09,0.12,0.08,0.18,0,0,0.09,0.04,1.41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr 20806,0.38,25.21,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr 2231 20308,0.95,24.36,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr 2436 19758,0.17,27.58,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr 2454 19151,0.48,27.43,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr 2454 second cut 19158,0.48,27.43,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol qr second cut 20807,0.38,25.21,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol sgc 20755,0.22,28.73,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 35g hybridol sgc 2343 20402,0.93,25.65,0,0.09,0.01,0.06,0.75,0.02,0.05,0,0.10,0.25,0.06,1.11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
